id,name,author,style,time,score,comment,image
1,We Sing. We Dance. We Steal Things.,Jason Mraz,民谣,2008-05-13,9.1,105763,https://img3.doubanio.com/view/subject/m/public/s2967252.jpg
2,Viva La Vida,Coldplay,摇滚,2008-06-17,8.7,89447,https://img3.doubanio.com/view/subject/m/public/s3054604.jpg
3,华丽的冒险,陈绮贞,流行,2005-09-23,8.9,77730,https://img3.doubanio.com/view/subject/m/public/s1441645.jpg
4,范特西,周杰伦,流行,2001-09-14,9.2,97763,https://img3.doubanio.com/view/subject/m/public/s3750422.jpg
5,後。青春期的詩,五月天,摇滚,2008-10-23,8.8,79721,https://img1.doubanio.com/view/subject/m/public/s3316597.jpg
6,是时候,孙燕姿,流行,2011-03-08,8.6,72450,https://img1.doubanio.com/view/subject/m/public/s4653287.jpg
7,Lenka,Lenka,流行,2008-09-23,8.5,73487,https://img3.doubanio.com/view/subject/m/public/s3259484.jpg
8,Start from Here,王若琳,爵士,2008-01-11,8.7,67528,https://img1.doubanio.com/view/subject/m/public/s2874587.jpg
9,旅行的意义,陈绮贞,流行,2004-02-02,9.2,72588,https://img3.doubanio.com/view/subject/m/public/s2617173.jpg
10,太阳,陈绮贞,流行,2009-01-22,8.6,66811,https://img1.doubanio.com/view/subject/m/public/s3570839.jpg
11,Once (Soundtrack),Glen Hansard,原声,2007-05-22,9.1,64966,https://img3.doubanio.com/view/subject/m/public/s2821080.jpg
12,Not Going Anywhere,Keren Ann,民谣,2004-08-24,8.9,60631,https://img1.doubanio.com/view/subject/m/public/s1431228.jpg
13,American Idiot,Green Day,摇滚,2004-09-21,8.9,63181,https://img3.doubanio.com/view/subject/m/public/s1485602.jpg
14,思念是一种病,张震岳 Csun Yuk,流行,2007-07-06,8.8,57052,https://img1.doubanio.com/view/subject/m/public/s2591057.jpg
15,無與倫比的美麗,苏打绿,流行,2007-11-02,8.6,61842,https://img3.doubanio.com/view/subject/m/public/s2757483.jpg
16,亲爱的...我还不知道,张悬,流行,2007-07-20,8.5,55750,https://img3.doubanio.com/view/subject/m/public/s2604331.jpg
17,城市,张悬,流行,2009-05-22,8.3,53942,https://img3.doubanio.com/view/subject/m/public/s3786340.jpg
18,O,Damien Rice,流行,2003,9.1,49246,https://img1.doubanio.com/view/subject/m/public/s2838077.jpg
19,Wake Me Up When September Ends,Green Day,摇滚,2005-06-13,9.3,48900,https://img1.doubanio.com/view/subject/m/public/s3572868.jpg
20,叶惠美,周杰伦,流行,2003-07-31,8.5,63036,https://img3.doubanio.com/view/subject/m/public/s1425762.jpg
21,七里香,周杰伦,流行,2004,8.1,72256,https://img3.doubanio.com/view/subject/m/public/s3737076.jpg
22,21,Adele,流行,2011-02-01,9.0,53569,https://img3.doubanio.com/view/subject/m/public/s4527315.jpg
23,My Life Will...,张悬,流行,2006-06-09,8.6,49521,https://img1.doubanio.com/view/subject/m/public/s1884457.jpg
24,寓言,王菲,流行,2000,9.3,50951,https://img3.doubanio.com/view/subject/m/public/s3336480.jpg
25,你在煩惱什麼,苏打绿 Sodagreen,流行,2011-11-11,8.9,48405,https://img3.doubanio.com/view/subject/m/public/s6987806.jpg
26,感官/世界,林宥嘉,流行,2009-10-30,8.7,50627,https://img3.doubanio.com/view/subject/m/public/s4039591.jpg
27,Nevermind,Nirvana,摇滚,1991,9.2,47849,https://img3.doubanio.com/view/subject/m/public/s1632580.jpg
28,八度空间,周杰伦,流行,2002-07-19,8.5,55308,https://img3.doubanio.com/view/subject/m/public/s4598636.jpg
29,Jay,周杰伦,流行,2000-11-13,8.9,52774,https://img3.doubanio.com/view/subject/m/public/s8932514.jpg
30,Parachutes,Coldplay,流行,2000-07-10,9.0,45882,https://img3.doubanio.com/view/subject/m/public/s1400723.jpg
31,我要的幸福,孙燕姿,流行,2000-12-7,8.9,46314,https://img3.doubanio.com/view/subject/m/public/s3524071.jpg
32,还是会寂寞,陈绮贞,流行,2000,9.0,43546,https://img1.doubanio.com/view/subject/m/public/s27076587.jpg
33,Let Go,Avril Lavigne,摇滚,2002,8.8,45937,https://img3.doubanio.com/view/subject/m/public/s2652911.jpg
34,十一月的萧邦,周杰伦,流行,2005-11-01,7.9,57444,https://img3.doubanio.com/view/subject/m/public/s1456874.jpg
35,橙月,方大同,放克/灵歌/R&amp;B,2008-12-19,8.5,44167,https://img1.doubanio.com/view/subject/m/public/s3405037.jpg
36,小宇宙,苏打绿 Sodagreen,流行,2006-10-20,8.7,43872,https://img3.doubanio.com/view/subject/m/public/s1883654.jpg
37,若你碰到他,蔡健雅,流行,2009-08-19,8.0,46303,https://img3.doubanio.com/view/subject/m/public/s3942165.jpg
38,Lady & Bird,Lady & Bird,民谣,2003,8.8,41794,https://img3.doubanio.com/view/subject/m/public/s2376100.jpg
39,万能青年旅店,万能青年旅店,摇滚,2010-11-12,9.1,49548,https://img1.doubanio.com/view/subject/m/public/s4614409.jpg
40,Meteora,Linkin Park,摇滚,2003-03-25,9.0,41499,https://img1.doubanio.com/view/subject/m/public/s1401378.jpg
